      Rhob                Epsilon              Pressure               SoundV
0.1500000000E+00      0.1429928866E+03      0.1863624406E+01      0.4607817054E-01
0.1520000000E+00      0.1449249048E+03      0.1954265981E+01      0.4772251648E-01
0.1540000000E+00      0.1468581370E+03      0.2048181472E+01      0.4940145135E-01
0.1560000000E+00      0.1487926104E+03      0.2145435093E+01      0.5111071735E-01
0.1580000000E+00      0.1507283524E+03      0.2246091032E+01      0.5285016570E-01
0.1600000000E+00      0.1526653903E+03      0.2350213444E+01      0.5461964255E-01
0.1620000000E+00      0.1546037517E+03      0.2457866447E+01      0.5641898666E-01
0.1640000000E+00      0.1565434644E+03      0.2569113928E+01      0.5824399059E-01
0.1660000000E+00      0.1584845558E+03      0.2684020252E+01      0.6010240662E-01
0.1680000000E+00      0.1604270539E+03      0.2802649166E+01      0.6199014220E-01
0.1700000000E+00      0.1623709866E+03      0.2925064490E+01      0.6390699041E-01
0.1720000000E+00      0.1643163818E+03      0.3051330103E+01      0.6585691326E-01
0.1740000000E+00      0.1662632681E+03      0.3181509185E+01      0.6783141678E-01
0.1760000000E+00      0.1682116735E+03      0.3315665282E+01      0.6983432355E-01
0.1780000000E+00      0.1701616262E+03      0.3453861557E+01      0.7186536430E-01
0.1800000000E+00      0.1721131546E+03      0.3596160934E+01      0.7392425243E-01
0.1820000000E+00      0.1740662872E+03      0.3742626075E+01      0.7601068394E-01
0.1840000000E+00      0.1760210523E+03      0.3893319343E+01      0.7812433702E-01
0.1860000000E+00      0.1779774787E+03      0.4048302772E+01      0.8026487192E-01
0.1880000000E+00      0.1799355948E+03      0.4207638032E+01      0.8243193077E-01
0.1900000000E+00      0.1818954294E+03      0.4371386400E+01      0.8462513763E-01
0.1920000000E+00      0.1838570110E+03      0.4539608721E+01      0.8684409854E-01
0.1940000000E+00      0.1858203685E+03      0.4712365381E+01      0.8908840163E-01
0.1960000000E+00      0.1877855306E+03      0.4889716269E+01      0.9135765825E-01
0.1980000000E+00      0.1897525261E+03      0.5071720737E+01      0.9365133964E-01
0.2000000000E+00      0.1917213836E+03      0.5258437583E+01      0.9596902268E-01
0.2020000000E+00      0.1936921321E+03      0.5449925004E+01      0.9831022666E-01
0.2040000000E+00      0.1956648003E+03      0.5646240571E+01      0.1006744546E+00
0.2060000000E+00      0.1976394170E+03      0.5847441193E+01      0.1030611939E+00
0.2080000000E+00      0.1996160110E+03      0.6053583087E+01      0.1054699167E+00
0.2100000000E+00      0.2015946111E+03      0.6264721750E+01      0.1079000805E+00
0.2120000000E+00      0.2035752460E+03      0.6480911924E+01      0.1103511289E+00
0.2140000000E+00      0.2055579444E+03      0.6702207575E+01      0.1128224923E+00
0.2160000000E+00      0.2075427351E+03      0.6928661856E+01      0.1153088314E+00
0.2180000000E+00      0.2095296465E+03      0.7160327087E+01      0.1178189420E+00
0.2200000000E+00      0.2115187074E+03      0.7397254729E+01      0.1203475838E+00
0.2220000000E+00      0.2135099463E+03      0.7639495355E+01      0.1228941415E+00
0.2240000000E+00      0.2155033915E+03      0.7887098632E+01      0.1254579900E+00
0.2260000000E+00      0.2174990716E+03      0.8140113294E+01      0.1280384956E+00
0.2280000000E+00      0.2194970149E+03      0.8398587127E+01      0.1306350169E+00
0.2300000000E+00      0.2214972495E+03      0.8662566945E+01      0.1332469051E+00
0.2320000000E+00      0.2234998037E+03      0.8932098572E+01      0.1358735059E+00
0.2340000000E+00      0.2255047055E+03      0.9207226830E+01      0.1385141591E+00
0.2360000000E+00      0.2275119828E+03      0.9487995516E+01      0.1411682004E+00
0.2380000000E+00      0.2295216635E+03      0.9774447398E+01      0.1438349619E+00
0.2400000000E+00      0.2315337754E+03      0.1006662419E+02      0.1465137729E+00
0.2420000000E+00      0.2335483461E+03      0.1036456656E+02      0.1492039997E+00
0.2440000000E+00      0.2355654030E+03      0.1066831409E+02      0.1519048908E+00
0.2460000000E+00      0.2375849735E+03      0.1097790530E+02      0.1546158118E+00
0.2480000000E+00      0.2396070849E+03      0.1129337763E+02      0.1573360894E+00
0.2500000000E+00      0.2416317642E+03      0.1161476742E+02      0.1600650521E+00
0.2520000000E+00      0.2436590384E+03      0.1194210992E+02      0.1628020303E+00
0.2540000000E+00      0.2456889338E+03      0.1227543946E+02      0.1655509061E+00
0.2560000000E+00      0.2477214780E+03      0.1261478877E+02      0.1683020016E+00
0.2580000000E+00      0.2497566968E+03      0.1296018997E+02      0.1710591259E+00
0.2600000000E+00      0.2517946167E+03      0.1331167393E+02      0.1738216257E+00
0.2620000000E+00      0.2538352638E+03      0.1366927044E+02      0.1765888537E+00
0.2640000000E+00      0.2558786641E+03      0.1403300818E+02      0.1793601689E+00
0.2660000000E+00      0.2579248432E+03      0.1440291474E+02      0.1821349376E+00
0.2680000000E+00      0.2599738268E+03      0.1477901666E+02      0.1849125335E+00
0.2700000000E+00      0.2620256404E+03      0.1516133938E+02      0.1876923388E+00
0.2720000000E+00      0.2640803090E+03      0.1554990729E+02      0.1904737444E+00
